Year,Month,Southeast
2019,4,7187
2019,5,5104
2019,6,5876
2019,7,6820
2019,8,7060
2019,9,7954
2019,10,11252
2019,11,10912
2019,12,11273
2020,1,14447
2020,2,16213
2020,3,9518
2020,4,8529.6
2020,5,7108
2020,6,7917
2020,7,8194
2020,8,7049
2020,9,9128
2020,10,14773
2020,11,13578
2020,12,13866
2021,1,14712
2021,2,18508
2021,3,16420
2021,4,11580
2021,5,10637
2021,6,8571
2021,7,9428
2021,8,8485
2021,9,10182
2021,10,14255
2021,11,13806
2021,12,18317
2022,1,25329
2022,2,20944
2022,3,17173
2022,4,18200
2022,5,17914
2022,6,16734
2022,7,17659
2022,8,16082
2022,9,16868
2022,10,22010
2022,11,16521
2022,12,20260
2023,1,24113
2023,2,20637
2023,3,18502
2023,4,14050
2023,5,14068
2023,6,14407
2023,7,15196
2023,8,14468
2023,9,14517
2023,10,21201
